iter	RMSE
0	0.9702562577
1	0.9387283967
2	0.9107744278
3	0.8819476944
4	0.8532166691
5	0.8256651948
6	0.8000942001
7	0.7762524278
8	0.7551632521
9	0.7324295374
10	0.7102518391
11	0.6897176868
12	0.668654311
13	0.6495404211
14	0.6303361683
15	0.6131064697
16	0.5963596246
17	0.5811897334
18	0.5649334753
19	0.5485757824
20	0.5331096985
21	0.5189784797
22	0.5069573773
23	0.4935109571
24	0.4797952986
25	0.4700655931
26	0.4568640489
27	0.4446234774
28	0.4347033807
29	0.4232208279
30	0.4130712293
31	0.4034286395
32	0.393695504
33	0.3848880827
34	0.3759762006
35	0.3681051043
36	0.3596769732
37	0.3516278283
38	0.3443503028
39	0.3367187763
40	0.3310211231
41	0.3241158419
42	0.3174547493
43	0.3109607558
44	0.305588932
45	0.3000649526
46	0.2958870832
47	0.2897250827
48	0.2837434137
49	0.2786045437
50	0.2740190101
51	0.2704402442
52	0.2680368359
53	0.2645531952
54	0.2602907049
55	0.256232519
56	0.252947569
57	0.2511552297
58	0.247811374
59	0.2455787038
60	0.2427734311
61	0.239685682
62	0.2369017636
63	0.2336927546
64	0.230618235
65	0.2282864255
66	0.2259143838
67	0.2235980667
68	0.2212742752
69	0.219541773
70	0.2173857597
71	0.2154739279
72	0.2137791223
73	0.2127617461
74	0.2105692332
75	0.2089089261
76	0.206490226
77	0.2054338823
78	0.2039945933
79	0.2025207252
80	0.2021073069
81	0.200613014
82	0.1991853291
83	0.1978210267
84	0.1961910369
85	0.1950100861
86	0.1938838744
87	0.1927141001
88	0.1914616471
89	0.1911278741
90	0.1902514358
91	0.1899043509
92	0.1893007306
93	0.1883019874
94	0.1875515136
95	0.187228293
96	0.1866904148
97	0.1861685365
98	0.1857939623
99	0.1850258889
100	0.1840759541
101	0.1835518508
102	0.1826834321
103	0.1818434503
104	0.1810863287
105	0.1807471977
106	0.1800192533
107	0.1795867897
108	0.1788973528
109	0.1784511633
110	0.1780407624
111	0.1777765776
112	0.1772878378
113	0.1767288977
114	0.176411631
115	0.1758386111
116	0.1754427451
117	0.1751875969
118	0.1748548205
119	0.1745431778
120	0.174259595
121	0.1738207252
122	0.1734910907
123	0.1729806269
124	0.1729066545
125	0.1726286012
126	0.1722440457
127	0.1720414157
128	0.1717356852
129	0.1715776388
130	0.1712525851
131	0.1711267623
132	0.1708193155
133	0.1705700604
134	0.1703032846
135	0.1699475503
136	0.1696811786
137	0.1695457429
138	0.1694683175
139	0.1694036471
140	0.1692155693
141	0.1689750478
142	0.1688374188
143	0.1686418598
144	0.1685662853
145	0.168444528
146	0.1682993029
147	0.1682016091
148	0.1680315616
149	0.1678486975
150	0.1677158665
151	0.1675892661
152	0.1674468437
153	0.1673793403
154	0.1673103966
155	0.1671196091
156	0.1670015011
157	0.1668854114
158	0.1667576311
159	0.1666721089
160	0.1665758854
161	0.1664884079
162	0.1664662829
163	0.1663498375
164	0.1662142396
165	0.1660196741
166	0.1659089514
167	0.1658237454
168	0.1657452542
169	0.1656389639
170	0.1654917575
171	0.1653039452
172	0.1652149668
173	0.1650896106
174	0.165004238
175	0.1648575893
176	0.1647661596
177	0.1646726263
178	0.1646239376
179	0.1645429835
180	0.1645043805
181	0.1644384328
182	0.1643735767
183	0.1643141684
184	0.1642378522
185	0.1641762007
186	0.1641083223
187	0.1640467927
188	0.1639140904
189	0.1638404577
190	0.1637761198
191	0.163670771
192	0.1635942888
193	0.1635377474
194	0.1635013588
195	0.1634252003
196	0.1633906486
197	0.1633208397
198	0.1632979429
199	0.1631812314
200	0.1630960248
201	0.1629685283
202	0.1629223688
203	0.1628675119
204	0.1628293205
205	0.1627688966
206	0.1626765446
207	0.1626068165
208	0.162495609
209	0.1624865775
210	0.1624302908
211	0.1623741126
212	0.1623147991
213	0.1621731476
214	0.1621431153
215	0.1620522317
216	0.1619944764
217	0.1618706139
218	0.1617585878
219	0.1617050649
220	0.1616264873
221	0.1615940144
222	0.1614983158
223	0.1614756686
224	0.1614575654
