iter	Passed	Remaining
0	0	184
1	0	141
2	0	124
3	0	138
4	0	146
5	0	145
6	0	141
7	1	145
8	1	136
9	1	131
10	1	128
11	1	129
12	1	129
13	1	126
14	1	127
15	2	127
16	2	130
17	2	131
18	2	132
19	2	136
20	3	141
21	3	143
22	3	145
23	3	143
24	3	144
25	3	140
26	3	140
27	4	142
28	4	141
29	4	143
30	4	143
31	4	146
32	5	147
33	5	148
34	5	150
35	5	151
36	5	153
37	6	155
38	6	155
39	6	156
40	6	155
41	6	156
42	7	156
43	7	155
44	7	155
45	7	156
46	7	154
47	7	154
48	7	155
49	8	154
50	8	155
51	8	154
52	8	152
53	8	153
54	8	154
55	9	153
56	9	155
57	9	153
58	9	154
59	9	153
60	10	154
61	10	154
62	10	154
63	10	155
64	10	155
65	11	156
66	11	157
67	11	157
68	11	157
69	11	156
70	11	156
71	12	157
72	12	157
73	12	157
74	12	157
75	12	157
76	13	166
77	14	167
78	14	167
79	14	167
80	14	166
81	14	166
82	15	167
83	15	167
84	15	167
85	15	167
86	15	167
87	16	166
88	16	166
89	16	166
90	16	165
91	16	164
92	16	164
93	17	164
94	17	163
95	17	163
96	17	163
97	17	163
98	17	162
99	18	162
100	18	162
101	18	163
102	18	164
103	18	163
104	19	163
105	19	163
106	19	163
107	19	164
108	20	164
109	20	163
110	20	163
111	20	163
112	20	164
113	21	164
114	21	164
115	21	164
116	21	164
117	21	163
118	22	163
119	22	163
120	22	162
121	22	162
122	22	162
123	22	161
124	23	161
125	23	161
126	23	161
127	23	161
128	23	161
129	24	161
130	24	161
131	24	160
132	24	160
133	24	160
134	25	160
135	25	160
136	25	160
137	25	160
138	25	159
139	25	159
140	26	159
141	26	158
142	26	158
143	26	158
144	26	158
145	27	158
146	27	158
147	27	158
148	27	158
149	28	158
150	28	158
151	28	158
152	28	157
153	28	157
154	28	157
155	28	156
156	29	156
157	29	156
158	29	156
159	29	156
160	30	156
161	30	156
162	30	156
163	30	156
164	30	155
165	30	155
166	31	155
167	31	155
168	31	155
169	31	155
170	32	155
171	32	155
172	32	155
173	32	155
174	32	155
175	33	155
176	33	154
177	33	154
178	33	154
179	33	154
180	34	154
181	35	157
182	35	157
183	35	156
184	35	156
185	35	156
186	35	156
187	36	156
188	36	155
189	36	155
190	36	155
191	36	155
192	37	155
193	37	155
194	37	154
195	37	154
196	37	154
197	37	153
198	38	153
199	38	153
200	38	152
201	38	152
202	38	152
203	39	152
204	39	152
205	39	152
206	39	152
207	39	151
208	40	151
209	40	150
210	40	150
211	40	150
212	40	150
213	40	150
214	41	150
215	41	150
216	41	150
217	41	149
218	41	149
219	42	149
220	42	149
221	42	149
222	42	149
223	42	148
224	43	148
225	43	148
226	43	148
227	43	148
228	44	148
229	44	148
230	44	148
231	44	147
232	44	147
233	45	147
234	45	147
235	45	147
236	45	147
237	46	147
238	46	147
239	46	147
240	46	147
241	46	147
242	47	146
243	47	146
244	47	146
245	47	146
246	48	147
247	48	147
248	48	146
249	49	147
250	49	146
251	49	146
252	49	146
253	49	146
254	50	146
255	50	146
256	50	145
257	50	145
258	50	145
259	51	145
260	51	145
261	51	144
262	51	144
263	51	144
264	51	144
265	52	143
266	52	143
267	52	143
268	52	143
269	52	143
270	53	143
271	53	142
272	53	142
273	53	142
274	53	142
275	54	142
276	54	141
277	54	141
278	54	141
279	55	143
280	56	143
281	56	143
282	56	143
283	56	142
284	56	142
285	57	142
286	57	142
287	57	141
288	57	141
289	57	141
290	58	141
291	58	141
292	58	141
293	58	141
294	58	140
295	59	140
296	59	140
297	59	140
298	59	140
299	59	139
300	60	139
301	60	139
302	60	139
303	60	138
304	60	138
305	61	138
306	61	138
307	61	138
308	61	138
309	62	138
310	62	137
311	62	137
312	62	137
313	62	137
314	63	137
315	63	136
316	63	136
317	63	136
318	63	136
319	64	136
320	64	135
321	64	135
322	64	135
323	64	135
324	65	135
325	65	134
326	65	134
327	65	134
328	65	134
329	66	134
330	66	133
331	66	133
332	66	133
333	66	133
334	67	133
335	67	133
336	67	132
337	67	132
338	67	132
339	68	132
340	68	131
341	68	131
342	68	131
343	68	131
344	69	131
345	69	131
346	69	131
347	69	130
348	70	130
349	70	130
350	70	130
351	70	130
352	70	129
353	71	129
354	71	129
355	71	129
356	71	129
357	71	128
358	72	128
359	72	128
360	72	128
361	72	127
362	72	127
363	72	127
364	73	127
365	73	127
366	73	126
367	73	126
368	73	126
369	74	126
370	74	125
371	74	125
372	74	125
373	74	125
374	75	125
375	75	124
376	75	124
377	75	124
378	75	124
379	76	124
380	76	123
381	76	123
382	76	123
383	76	123
384	77	123
385	77	122
386	77	122
387	77	122
388	77	122
389	77	121
390	78	121
391	78	121
392	78	121
393	79	122
394	79	121
395	79	121
396	80	121
397	80	121
398	80	121
399	80	120
400	80	120
401	81	120
402	81	120
403	81	120
404	81	119
405	81	119
406	82	119
407	82	119
408	82	119
409	82	119
410	83	119
411	83	118
412	83	118
413	83	118
414	83	118
415	84	118
416	84	117
417	84	117
418	84	117
419	84	117
420	85	117
421	85	116
422	85	116
423	85	116
424	85	116
425	86	115
426	86	115
427	86	115
428	86	115
429	86	115
430	87	114
431	87	114
432	87	114
433	87	114
434	87	114
435	88	113
436	88	113
437	88	113
438	89	114
439	89	113
440	89	113
441	89	113
442	90	113
443	90	113
444	90	112
445	90	112
446	90	112
447	91	112
448	91	112
449	91	111
450	92	112
451	92	112
452	92	112
453	93	111
454	93	111
455	93	111
456	93	111
457	93	111
458	93	110
459	94	110
460	94	110
461	94	110
462	94	110
463	95	109
464	95	109
465	95	109
466	95	109
467	95	109
468	96	108
469	96	108
470	96	108
471	96	108
472	96	107
473	97	107
474	97	107
475	97	107
476	97	107
477	97	106
478	98	106
479	98	106
480	98	106
481	98	106
482	98	105
483	99	105
484	99	105
485	99	105
486	99	105
487	99	104
488	100	105
489	101	105
490	102	105
491	102	105
492	102	105
493	102	105
494	102	104
495	103	104
496	103	104
497	103	104
498	103	104
499	103	103
500	104	103
501	104	103
502	104	103
503	104	102
504	104	102
505	105	102
506	105	102
507	105	102
508	105	102
509	106	101
510	106	101
511	106	101
512	106	101
513	106	101
514	107	100
515	107	100
516	107	100
517	107	100
518	107	99
519	108	99
520	108	99
521	108	99
522	108	99
523	108	98
524	109	98
525	109	98
526	109	98
527	109	98
528	109	97
529	110	97
530	110	97
531	110	97
532	110	97
533	110	96
534	111	96
535	111	96
536	111	96
537	111	96
538	112	95
539	112	95
540	112	95
541	112	95
542	112	95
543	113	94
544	113	94
545	113	94
546	113	94
547	113	93
548	113	93
549	114	93
550	114	93
551	114	92
552	114	92
553	115	92
554	115	92
555	115	92
556	115	91
557	115	91
558	115	91
559	116	91
560	116	91
561	116	90
562	116	90
563	116	90
564	117	90
565	117	89
566	117	89
567	117	89
568	118	89
569	118	89
570	118	88
571	118	88
572	118	88
573	119	88
574	119	88
575	119	87
576	119	87
577	119	87
578	120	87
579	120	87
580	120	86
581	120	86
582	121	87
583	121	86
584	122	86
585	122	86
586	122	86
587	122	85
588	122	85
589	123	85
590	123	85
591	123	85
592	123	84
593	124	84
594	124	84
595	124	84
596	124	84
597	124	83
598	125	83
599	125	83
600	125	83
601	125	83
602	125	82
603	126	82
604	126	82
605	126	82
606	126	81
607	126	81
608	126	81
609	127	81
610	127	81
611	127	80
612	127	80
613	127	80
614	128	80
615	128	79
616	128	79
617	128	79
618	128	79
619	129	79
620	129	78
621	129	78
622	129	78
623	130	78
624	130	78
625	130	77
626	130	77
627	130	77
628	130	77
629	131	77
630	131	76
631	131	76
632	131	76
633	132	76
634	132	76
635	133	76
636	133	75
637	133	75
638	133	75
639	133	75
640	134	75
641	134	74
642	134	74
643	134	74
644	134	74
645	135	74
646	135	73
647	135	73
648	135	73
649	136	73
650	136	73
651	136	72
652	136	72
653	136	72
654	136	72
655	137	71
656	137	71
657	137	71
658	137	71
659	137	71
660	138	70
661	138	70
662	138	70
663	138	70
664	138	69
665	139	69
666	139	69
667	139	69
668	139	69
669	139	68
670	139	68
671	140	68
672	140	68
673	140	67
674	140	67
675	140	67
676	141	67
677	141	67
678	141	66
679	141	66
680	141	66
681	142	66
682	142	66
683	142	65
684	142	65
685	142	65
686	142	65
687	143	64
688	143	64
689	143	64
690	143	64
691	144	64
692	144	63
693	144	63
694	144	63
695	144	63
696	144	62
697	145	62
698	145	62
699	145	62
700	145	62
701	146	61
702	146	61
703	146	61
704	146	61
705	146	61
706	147	60
707	147	60
708	147	60
709	147	60
710	147	60
711	148	59
712	148	59
713	148	59
714	148	59
715	148	59
716	148	58
717	149	58
718	149	58
719	149	58
720	149	57
721	150	57
